Country,GDP,GDP Year-over-Year,GDP Quarter-over-Quarterr,Interest Rate,Inflation Rate,Jobless Rate,Gov. Budget,Debt/GDP,Current Account,Population
Euro Area,14493,4.1,0.8,1.25,10,6.6,-5.1,95.6,2.5,342.56
Germany,4223,1.7,0.1,1.25,10,5.5,-3.7,69.3,7.4,83.16
United Kingdom,3187,4.4,0.2,2.25,9.9,3.5,-6,95.9,-2.6,67.53
France,2937,4.2,0.5,1.25,5.6,7.4,-6.5,112.9,0.4,67.63
Italy,2100,5,1.1,1.25,8.9,7.8,-7.2,150.8,2.5,59.24
Russia,1776,-4.1,-0.8,7.5,13.7,3.8,0.8,18.2,6.8,145.55
Spain,1425,6.8,1.5,1.25,9,12.48,-6.9,118.4,0.9,47.4
Netherlands,1018,5.1,2.6,1.25,14.5,3.8,-2.6,52.4,9,17.48
Turkey,815,7.6,2.1,12,83.45,9.6,-2.7,42,-1.7,84.68
Switzerland,813,2.8,0.3,0.5,3.3,1.9,-0.7,41.4,9.3,8.67
Poland,674,5.5,-2.1,6.75,17.2,4.8,-1.9,53.8,-0.7,37.84
Sweden,627,3.8,0.9,1.75,9.8,6.6,-0.2,36.7,5.3,10.38
Belgium,600,3.3,0.2,1.25,11.27,5.8,-5.5,108.2,-0.4,11.55
Ireland,499,11.1,1.8,1.25,8.7,4.3,-0.1,56,13.9,5.01
Norway,482,3.9,0.7,2.25,6.9,3.3,9.1,43.2,15,5.43
Austria,477,6,1.5,1.25,10.5,5.7,-5.9,82.8,-0.5,8.93
Denmark,397,3.9,0.9,0.65,10,2.7,2.3,36.7,8.8,5.84
Finland,299,3,0.9,1.25,7.6,6.7,-2.6,65.8,0.9,5.55
Romania,284,5.1,1.8,6.25,15.9,5.1,-7.1,48.8,-7,19.2
Czech Republic,282,3.7,0.5,7,18,3.5,-5.9,41.9,-0.8,10.5
Portugal,250,7.1,0,1.25,9.3,5.7,-2.8,127.4,-1.1,10.3
Greece,216,7.7,1.2,1.25,12,12.2,-7.4,193.3,-5.9,10.68
Ukraine,200,-37.2,-19.2,25,24.6,10.6,-3.4,48.9,-1.3,41
Hungary,182,6.5,1,13,20.1,3.4,-6.8,76.8,-2.9,9.73
Slovakia,115,1.8,0.5,1.25,14.07,6.1,-6.2,63.1,-2,5.4
Luxembourg,87,1.6,-0.5,1.25,6.9,4.8,0.9,24.4,4.8,0.63
Bulgaria,80,3.96,0.8,0,17.7,4.3,-4.1,20.7,-0.4,6.84
Croatia,68,7.7,2,2.5,12.3,6.3,-2.9,79.8,3.1,4.04
Belarus,68,-0.4,           NA,12,17.4,3.9,-0.3,33.5,-2.7,9.25
Lithuania,66,1.8,-0.5,1.25,24.1,8.6,-1,44.3,1.4,2.8
Serbia,63,3.9,-0.5,4,14,8.9,-4.6,56.5,-4.4,6.87
Slovenia,62,8.2,0.9,1.25,10,5.6,-5.2,74.7,3.3,2.11
Latvia,39,2.9,-1,1.25,22.2,6.6,-7.3,44.8,-2.9,1.89
Estonia,36,0.6,-1.3,1.25,23.7,5.8,-2.4,18.1,-1.6,1.33
Cyprus,28,6.1,0.6,1.25,8.74,8.6,-1.7,103.6,-7.2,0.9
Iceland,25,6.1,3.9,5.75,9.3,4.5,-8.9,75,-2.7,0.37
Bosnia and Herzegovina,23,5.9,1.5,3.63,16.8,30.17,-0.3,24.8,-2.1,3.46
Albania,18,2.23,-1.16,2.25,8.1,11.1,-4.8,78.1,-7.7,2.83
Malta,17,8.9,1,1.25,7,2.9,-8,57,-4.9,0.52
Moldova,14,-0.9,-2.3,21.5,33.97,2.4,-8,32.1,-11.6,2.6
Macedonia,14,2.8,3.9,3,18.7,14.5,-5.4,51.8,-3.5,2.07
Kosovo,9,2.14,            NA,            NA,12.7,20.5,-0.9,23.34,-8.6,1.77
